Date,Molecular Weight,ml
8/23/18,669000,9.037
8/23/18,440000,10.202
8/23/18,158000,12.504
8/23/18,75000,14.046
8/23/18,44000,14.772
8/23/18,29000,16.278
8/23/18,13700,17.744
8/24/18,669000,9.096
8/24/18,440000,
8/24/18,158000,
8/24/18,75000,14.192
8/24/18,44000,15.115
8/24/18,29000,16.649
8/24/18,13700,18.223
